Transaction Date,Post Date,Description,Category,Type,Amount,Memo
10/25/2025,10/26/2025,Patreon* Membership,Entertainment,Sale,-60.14,
10/20/2025,10/20/2025,XAI LLC,Shopping,Sale,-30.00,
10/18/2025,10/19/2025,Payment Thank You-Mobile,,Payment,985.70,
10/15/2025,10/16/2025,GOOGLE *YouTubePremium,Bills & Utilities,Sale,-14.76,
10/15/2025,10/16/2025,MICROSOFT*PC GAME PASS,Shopping,Sale,-13.07,
10/10/2025,10/12/2025,PIZZAHUT 042504,Food & Drink,Sale,-16.16,
10/10/2025,10/10/2025,AMAZON MKTPL*NF1HG6X91,Shopping,Sale,-183.55,
10/09/2025,10/09/2025,Amazon.com*NV07K89M2,Shopping,Sale,-6.34,
10/08/2025,10/08/2025,Patreon* Membership,Entertainment,Sale,-21.10,
10/05/2025,10/06/2025,DUNKIN #310453 Q35,Food & Drink,Sale,-4.42,
10/04/2025,10/06/2025,CHICK-FIL-A #04088,Food & Drink,Sale,-22.43,
10/05/2025,10/06/2025,AMAZON MKTPL*NV9L03ND2,Shopping,Sale,-158.70,
10/05/2025,10/06/2025,AMAZON MKTPL*NV6C79MU1,Shopping,Sale,-4.83,
10/04/2025,10/05/2025,AMAZON MKTPL*NJ4ML6WY2,Shopping,Sale,-98.10,
10/02/2025,10/03/2025,DICKEYS.CO* SN: WI-057,Food & Drink,Sale,-28.32,
10/01/2025,10/03/2025,WENDY'S #0028,Food & Drink,Sale,-8.44,
10/03/2025,10/03/2025,OPENAI *CHATGPT SUBSCR,Shopping,Sale,-20.00,
10/02/2025,10/02/2025,XAI LLC,Shopping,Sale,-5.00,
10/01/2025,10/02/2025,Amazon.com*NJ71L79Y1,Shopping,Sale,-63.29,
10/02/2025,10/02/2025,OPENAI,Shopping,Sale,-5.00,
09/30/2025,10/01/2025,CULVERS,Food & Drink,Sale,-20.32,
09/28/2025,09/30/2025,ARBYS ECOM 7303,Food & Drink,Sale,-16.31,
09/28/2025,09/29/2025,QDOBA 3234 OLO,Food & Drink,Sale,-3.96,
09/27/2025,09/29/2025,WENDY'S #0028,Food & Drink,Sale,-17.06,
09/27/2025,09/28/2025,Amazon.com*IS4PM4573,Shopping,Sale,-105.49,
09/26/2025,09/28/2025,Amazon.com*NJ3UR48H0,Shopping,Sale,-28.86,
09/26/2025,09/28/2025,TACO BELL 736174,Food & Drink,Sale,-22.98,
09/25/2025,09/26/2025,AMAZON MKTPL*NX4U402R3,Shopping,Sale,-28.47,
09/23/2025,09/24/2025,AMAZON MKTPL*GQ8U21UC3,Shopping,Sale,-148.03,
09/23/2025,09/24/2025,TEXAS ROADHOUSE #2126 OL,Food & Drink,Sale,-0.70,
