Transaction Date,Post Date,Description,Category,Type,Amount,Memo
09/22/2025,09/23/2025,AMAZON MKTPL*QO9DP7CT3,Shopping,Sale,-31.64,
09/21/2025,09/22/2025,DUNKIN #310453 Q35,Food & Drink,Sale,-4.42,
09/20/2025,09/21/2025,XAI LLC,Shopping,Sale,-30.00,
09/20/2025,09/21/2025,WL *Steam Purchase,Entertainment,Sale,-63.29,
09/20/2025,09/21/2025,AMAZON MKTPLACE PMTS,Shopping,Return,263.03,
09/18/2025,09/19/2025,CHIPOTLE MEX GR ONLINE,Food & Drink,Sale,-32.34,
09/18/2025,09/19/2025,Fanatical 68cc23b2eaffb33,Entertainment,Sale,-6.27,
09/18/2025,09/18/2025,Payment Thank You-Mobile,,Payment,1413.81,
09/16/2025,09/18/2025,WENDY'S #0028,Food & Drink,Sale,-15.08,
09/16/2025,09/17/2025,AMAZON MKTPL*NZ50L04H3,Shopping,Sale,-21.08,
09/15/2025,09/16/2025,GOOGLE *YouTubePremium,Bills & Utilities,Sale,-14.76,
09/15/2025,09/16/2025,Microsoft*PC 1 Month,Shopping,Sale,-13.07,
09/16/2025,09/16/2025,Amazon.com,Shopping,Return,253.19,
09/14/2025,09/16/2025,WENDY'S #0028,Food & Drink,Sale,-14.85,
09/14/2025,09/15/2025,STEAMGAMES.COM 4259522985,Entertainment,Sale,-28.47,
09/13/2025,09/14/2025,SQ *JASEC LLC,Food & Drink,Sale,-12.00,
09/13/2025,09/14/2025,SQ *HIGHLANDS SODA POP SH,Food & Drink,Sale,-4.22,
09/13/2025,09/14/2025,STEAMGAMES.COM 4259522985,Entertainment,Sale,-13.83,
09/12/2025,09/14/2025,TACO BELL #24298,Food & Drink,Sale,-9.48,
09/11/2025,09/14/2025,LAMBEAUFIELDCONCESSION,Food & Drink,Sale,-29.69,
09/13/2025,09/14/2025,CHIPOTLE MEX GR ONLINE,Food & Drink,Sale,-18.09,
09/13/2025,09/14/2025,SQ *JASEC LLC,Food & Drink,Sale,-4.40,
09/13/2025,09/14/2025,SQ *YAYA?S SWEET TREATS,Food & Drink,Sale,-15.00,
09/10/2025,09/12/2025,WENDY'S #0028,Food & Drink,Sale,-8.44,
09/11/2025,09/11/2025,Amazon.com*137EG6LD3,Shopping,Sale,-253.19,
09/07/2025,09/09/2025,WENDY'S #0028,Food & Drink,Sale,-12.74,
09/08/2025,09/08/2025,Patreon* Membership,Entertainment,Sale,-21.10,
09/06/2025,09/08/2025,CHICK-FIL-A #04088,Food & Drink,Sale,-11.48,
09/07/2025,09/07/2025,Amazon.com*815259843,Shopping,Sale,-253.19,
09/06/2025,09/07/2025,AMAZON MKTPL*AL4GM6LZ3,Shopping,Sale,-19.99,
09/06/2025,09/07/2025,STEAMGAMES.COM 4259522985,Entertainment,Sale,-21.09,
09/04/2025,09/05/2025,CULVERS,Food & Drink,Sale,-17.48,
09/04/2025,09/04/2025,AMAZON MKTPL*197KC91C3,Shopping,Sale,-750.40,
09/02/2025,09/04/2025,ARBYS ECOM 7303,Food & Drink,Sale,-11.56,
09/01/2025,09/03/2025,WENDY'S #0028,Food & Drink,Sale,-17.58,
09/01/2025,09/02/2025,AMAZON MKTPL*1741L14Q3,Shopping,Sale,-29.64,
08/31/2025,09/02/2025,TACO BELL 736174,Food & Drink,Sale,-27.52,
09/01/2025,09/01/2025,Payment Thank You-Mobile,,Payment,1639.94,
08/30/2025,09/01/2025,WENDY'S #0028,Food & Drink,Sale,-12.66,
08/29/2025,08/31/2025,CHIPOTLE MEX GR ONLINE,Food & Drink,Sale,-18.09,
08/28/2025,08/29/2025,Amazon.com*1D7O367W3,Shopping,Sale,-842.95,
08/29/2025,08/29/2025,NAME-CHEAP.COM* S5SGPL,Professional Services,Sale,-7.68,
08/28/2025,08/29/2025,CULVERS,Food & Drink,Sale,-24.66,
08/28/2025,08/28/2025,AMAZON MKTPL*QE7A49L73,Shopping,Sale,-37.95,
08/25/2025,08/27/2025,WENDY'S #0028,Food & Drink,Sale,-13.64,
08/24/2025,08/26/2025,RACINE ARCH MARRIOTT,Travel,Sale,-6.00,
08/25/2025,08/26/2025,WL *Steam Purchase,Entertainment,Sale,-29.52,
08/24/2025,08/25/2025,MCDONALD'S F10872,Food & Drink,Sale,-21.08,
08/23/2025,08/25/2025,MELI CAFE,Food & Drink,Sale,-16.81,
08/22/2025,08/24/2025,FESTIVAL FOODS,Groceries,Sale,-25.07,
08/23/2025,08/24/2025,PANDA EXPRESS #2161,Food & Drink,Sale,-23.00,
08/23/2025,08/24/2025,MEGABUS.COM,Travel,Sale,-49.99,
08/23/2025,08/24/2025,CANTINA 20,Food & Drink,Sale,-30.00,
08/21/2025,08/24/2025,SUPERB,Shopping,Sale,-26.36,
