Date,Description,Category,Amount,Split,Tags
11/13/23,PURCHASE PP*DRI*NVIDIA,Electronics,-5.26,,
11/13/23,PURCHASE SOFTCTRL.APP,Other,-71.99,,
11/13/23,INTERNATIONAL TRANSACTION FEE,Other,-2.16,,
11/14/23,MERCHANDISE RET SOFTCTRL.APP,Other,71.99,,
11/15/23,PURCHASE PAYPAL *MICROSOFT,Electronics,-18.52,,
11/15/23,BRIGHTSTAR FRANC DIRECT DEP,Other,1502.16,,
11/16/23,Wealthfront EDI PYMNTS,Other,-681.82,,
11/28/23,RTP Credit RCVD from WEALTHFRONT,Other,20000.0,,
11/29/23,BRIGHTSTAR FRANC DIRECT DEP,Other,1619.84,,
11/29/23,WITHDRAWAL,Other,-20000.0,,
12/4/23,PURCHASE OCULUS,Hobbies,-31.64,,
12/4/23,Wealthfront EDI PYMNTS,Other,-1619.84,,
12/11/23,DEPOSIT,Other,4000.0,,
12/11/23,CAPITAL ONE ONLINE PMT,Credit Card Payment,-2349.09,,
12/11/23,PURCHASE PP*DR DRI*NVIDIA,Electronics,-5.26,,
12/11/23,DEPOSIT,Other,1348.92,,
12/13/23,BRIGHTSTAR FRANC DIRECT DEP,Other,1592.57,,
12/13/23,Wealthfront EDI PYMNTS,Other,-2962.92,,
12/14/23,Wealthfront EDI PYMNTS,Other,-2092.58,,
12/18/23,PURCHASE IL TOLLWAY-AUTOREPLENI,Public Transportation,-25.0,,
12/18/23,PLANET FIT CLUB FEES,Fitness,-25.32,,
12/22/23,HUNTINGTON ATM CASH WITHDRAWAL,Other,-400.0,,
12/27/23,PURCHASE IL TOLLWAY-AUTOREPLENI,Public Transportation,-25.0,,
12/27/23,BRIGHTSTAR FRANC DIRECT DEP,Other,1621.95,,
12/29/23,Wealthfront EDI PYMNTS,Other,-1146.63,,
1/2/24,ATM CHECK DEPOSIT,Other,28.0,,
1/2/24,PLANET FIT CLUB FEES,Fitness,-49.0,,
1/3/24,DEPOSIT,Other,1027.0,,
1/4/24,Wealthfront EDI PYMNTS,Other,-979.0,,
1/10/24,BRIGHTSTAR FRANC DIRECT DEP,Other,1758.89,,
1/11/24,Wealthfront EDI PYMNTS,Other,-1760.63,,
1/11/24,PURCHASE PP*DR DRI*NVIDIA,Electronics,-5.26,,
1/11/24,PURCHASE CASH APP*REDD WINTERS,Other,-20.0,,
1/12/24,BRIGHTSTAR FRANC Exp Report,Other,25.32,,
1/16/24,PURCHASE PAYPAL *MY.COM,Other,-10.0,,
1/16/24,INTERNATIONAL TRANSACTION FEE,Other,-0.3,,
1/16/24,PURCHASE CASH APP*MADISON,Other,-30.0,,
1/16/24,INTERNATIONAL TRANSACTION FEE,Other,-0.3,,
1/16/24,PURCHASE PAYPAL *MY.COM,Other,-10.0,,
1/17/24,PURCHASE PAYPAL *MY.COM,Other,-10.0,,
1/17/24,INTERNATIONAL TRANSACTION FEE,Other,-0.3,,
1/17/24,PURCHASE PAYPAL *TWITCHINTER,Cable & Internet,-10.53,,
1/17/24,PLANET FIT CLUB FEES,Fitness,-25.32,,
1/18/24,PURCHASE PAYPAL *MY.COM,Other,-10.0,,
1/18/24,INTERNATIONAL TRANSACTION FEE,Other,-0.3,,
