category,total,count,percentage
Other,48505.72,65,84.58232158940213
Shopping,2889.54,21,5.038663512786554
Groceries,2087.13,34,3.6394532615718083
Payment,982.68,1,1.713557819149446
Bills & Utilities,765.0600000000001,3,1.3340808250076073
Personal,542.28,1,0.9456060306186773
Food & Drink,455.26,29,0.7938640582346002
Gas,296.89,10,0.517704828557902
Entertainment,231.03,9,0.4028608122258483
Public Transportation,225.0,9,0.39234594100686426
Fitness,175.6,6,0.306204209959135
Gasoline,83.33,1,0.14530749895156445
Travel,63.79,3,0.11123443367479055
Refund,36.36,2,0.06340310406670926
Professional Services,7.68,1,0.013392074786367636
